content,toxic
"Не го понасям този Гаун. Отишъл в Антверпен, а в България не идва. Да го духа!",0.000250296
САМО ДОКАТО ПРОЧЕТА ЗАГЛАВИЕТО И МИ СЕ ДОКЪКА,0.42547625
Необяснимо голям брой уинъри от бекхенд. Да не би да е разбрал тренировките за какво са?,0.064067096
Браво гнидо чуждопоклонник.,0.38668492
Явно Глигор има як сфинктер щом го е пречупил на испанецо....,0.07673511
И ти посрещаш всяка вечер ГОСТ-и отзад...,0.00097213377
"Стига с тоя Антверп, и в статиите за Лудогорец пак Антверп. Казва се Антверпен на български",7.5613134e-05
"Избивате комплекси. Полезно е, но моля не тук!!!",0.4649194
"Сервиза му е слабото място на Григор. 56% вкаран първи сервиз и 9 аса при този мач се вижда, че има леко подобрение, но за да бие тенисистите от топ10-15 ще му трябва още да вдигне нивото на сервиза, иначе в останалите компоненти не е по-слаб от най-добрите.",0.001080172
"Та като казваш, драга ми Виолета волейболистка си била. А Матейчо и Радо дето също не искаха и не искат да играят за България !? Като прибавим Гришко, Бербо и Попето футболера, а ? Света с това ли името на нацията ни познава ? Глупави българи казваш сме биле, че не ги тачем. Тъпа недоклатена кучка. Гербаджийска извратена комплексарщина. А поета, какво бе казал поета. ""Българийо, за тебе те умряха, една бе ти достойна зарад тях. И твойто име, само кат мълвяха, умираха завчас.""",0.12318707
Да напишеш това и да назовеш другия комплексар се иска глуповат мозък пълен с комплекс за малоценност.,0.3649203
"Значи да съм щастлив и доволен, че тоя каун дезертира най-срамно преди турнири на нац.отбор, че се крие и се прави на болен, а хората го чакат да дойде и да поведе отбора, затова ли??? Че е родоотстъпник и не говори български език че не живее в България, не плаща данъци тук, не гласува на избори, отказва да представлява и да се състезава за Р.България, дължи голяма сума пари на българските данъкоплатци и държавния бюджет! Че не играе дори на ""домашния турнир"", който хората направиха спец. за него. Е не, благодаря, няма да се гордея с него и няма да съм му благодарен и няма да го лижа по гзъ!!!!!!!",0.0012118312
"Апропо, той ако иска да лиже гзъ на Принц Албер, та белким му даде талимат да представлява Княжество Монако.......",0.0025236057
"Бъдете щастливи и благодарни,че имаме такъв спортист!Волейболът е спортът,с който трябва да се гордеем най-много,но Григор е човекът,с когото името на нацията ни познават по света.",0.0010197927
Всички сте хейтъри!Грам не може да прецените колко народ сме ние и колко процентно сме спрямо другите нации!!!,0.24358954
"Горе-долу сме около 5,5 млн. българите в България. Другите са в чужбина. И не е нужно да си задължително хейтър за да видиш очевидни неща! Разбра ли ме?",0.016442414
Григор е като Славия - не знаеш кога ще бие или падне. Все пак е сила в тениса.,0.015603264
"И все пак се радваме,когато гледаме наш спортист на такова ниво!",7.1454204e-05
"Това е абсолютно така, но поради 2 причини. Първата е защото, Дришлио е наистина непредвидим! А втората е че, не се знае как точно са му редили мача и как е заложено на ""тотото""!",0.00015018863
"като не ви харесва , не го гледайте",0.008054404
